Origin,Dest,DepTime,Weather,Airline,Duration,Day,Delayed
JFK,DEL,7,Fog,British Airways,60,Sunday,No
DOH,SIN,1,Clear,Emirates,110,Tuesday,Yes
JFK,CDG,4,Fog,Air India,60,Monday,Yes
JFK,CDG,20,Clear,British Airways,130,Friday,No
DOH,SIN,7,Rain,Qatar Airways,120,Sunday,Yes
JFK,SIN,19,Clear,Qatar Airways,40,Wednesday,No
DOH,SIN,20,Clear,Air India,20,Monday,Yes
DXB,SIN,9,Clear,British Airways,130,Thursday,No
JFK,HND,2,Storm,Air India,70,Tuesday,Yes
LHR,CDG,4,Storm,Emirates,120,Thursday,Yes
DOH,CDG,0,Fog,Emirates,30,Wednesday,Yes
JFK,CDG,15,Clear,British Airways,20,Wednesday,No
JFK,HND,15,Storm,British Airways,70,Thursday,No
DOH,DEL,20,Fog,Emirates,140,Saturday,No
DXB,DEL,4,Fog,Qatar Airways,50,Monday,Yes
LHR,DEL,0,Fog,Emirates,80,Wednesday,Yes
DOH,SIN,14,Fog,Emirates,90,Tuesday,Yes
DOH,SIN,9,Fog,Qatar Airways,130,Thursday,Yes
JFK,HND,19,Clear,Qatar Airways,60,Monday,No
LHR,SIN,23,Clear,Air India,50,Friday,Yes
DXB,CDG,13,Rain,Qatar Airways,20,Monday,Yes
JFK,SIN,1,Clear,British Airways,30,Saturday,Yes
LHR,DEL,0,Storm,Emirates,50,Thursday,Yes
DOH,SIN,12,Rain,Air India,130,Tuesday,Yes
JFK,SIN,12,Rain,Air India,40,Friday,Yes
DXB,HND,4,Clear,British Airways,150,Sunday,Yes
LHR,CDG,0,Fog,Air India,80,Saturday,Yes
DOH,CDG,8,Clear,Air India,40,Tuesday,Yes
JFK,DEL,11,Fog,Air India,30,Friday,Yes
LHR,SIN,6,Rain,British Airways,70,Sunday,Yes
LHR,SIN,1,Fog,Air India,40,Sunday,Yes
JFK,HND,9,Clear,Air India,130,Sunday,No
LHR,CDG,17,Clear,Air India,40,Monday,No
LHR,CDG,9,Rain,Emirates,120,Thursday,Yes
DOH,DEL,17,Clear,British Airways,100,Tuesday,No
DOH,HND,6,Clear,British Airways,60,Wednesday,No
DXB,CDG,20,Fog,Qatar Airways,90,Saturday,Yes
DXB,HND,13,Rain,British Airways,40,Wednesday,No
DXB,HND,4,Storm,British Airways,100,Saturday,Yes
JFK,SIN,10,Fog,Emirates,20,Thursday,Yes
DXB,DEL,3,Clear,British Airways,100,Wednesday,Yes
JFK,SIN,22,Rain,British Airways,140,Tuesday,Yes
DXB,CDG,15,Rain,Qatar Airways,50,Tuesday,No
JFK,DEL,5,Clear,Qatar Airways,30,Tuesday,Yes
DXB,CDG,4,Fog,British Airways,50,Monday,Yes
JFK,CDG,0,Clear,Air India,30,Sunday,Yes
LHR,SIN,23,Storm,Air India,110,Wednesday,Yes
DXB,DEL,4,Fog,Air India,130,Tuesday,Yes
DXB,HND,6,Clear,Emirates,30,Tuesday,No
LHR,DEL,17,Clear,Emirates,20,Tuesday,No
LHR,SIN,17,Rain,British Airways,150,Thursday,Yes
DXB,HND,4,Clear,British Airways,140,Tuesday,Yes
DXB,DEL,11,Fog,Qatar Airways,40,Thursday,Yes
JFK,HND,14,Clear,Air India,40,Thursday,No
DXB,CDG,5,Fog,Emirates,60,Thursday,Yes
LHR,HND,1,Clear,Air India,40,Friday,Yes
DOH,DEL,5,Rain,Air India,70,Thursday,Yes
DXB,DEL,21,Clear,Air India,150,Sunday,Yes
LHR,DEL,15,Rain,Air India,90,Wednesday,Yes
DOH,HND,11,Clear,Qatar Airways,50,Tuesday,No
DXB,SIN,20,Clear,British Airways,140,Friday,No
JFK,DEL,15,Rain,British Airways,130,Wednesday,Yes
DOH,CDG,11,Clear,Emirates,20,Monday,No
LHR,SIN,13,Fog,Air India,90,Sunday,Yes
JFK,SIN,7,Clear,Qatar Airways,50,Monday,No
DOH,DEL,9,Clear,Air India,60,Friday,Yes
DOH,DEL,17,Clear,Emirates,90,Saturday,No
JFK,SIN,15,Rain,Emirates,130,Friday,Yes
LHR,HND,18,Clear,Qatar Airways,80,Monday,No
LHR,SIN,19,Clear,Air India,140,Thursday,No
JFK,HND,15,Clear,Qatar Airways,120,Thursday,No
JFK,HND,5,Rain,British Airways,100,Saturday,Yes
DOH,SIN,6,Clear,Qatar Airways,150,Thursday,No
DXB,DEL,9,Clear,Emirates,110,Thursday,No
DXB,SIN,7,Rain,Air India,30,Saturday,Yes
DOH,SIN,6,Clear,British Airways,130,Friday,Yes
DOH,DEL,23,Fog,Air India,120,Wednesday,Yes
DOH,SIN,15,Storm,Air India,40,Tuesday,Yes
DXB,HND,18,Clear,British Airways,130,Thursday,No
DXB,SIN,10,Clear,Qatar Airways,140,Tuesday,No
DOH,DEL,8,Fog,British Airways,130,Tuesday,Yes
JFK,CDG,17,Rain,British Airways,110,Thursday,Yes
JFK,DEL,3,Fog,Air India,110,Monday,Yes
JFK,DEL,2,Fog,British Airways,130,Friday,Yes
DXB,CDG,4,Storm,Qatar Airways,140,Friday,Yes
JFK,CDG,3,Rain,Emirates,100,Wednesday,Yes
DXB,DEL,6,Clear,British Airways,130,Thursday,No
JFK,DEL,16,Clear,Emirates,40,Thursday,No
LHR,SIN,17,Clear,Emirates,60,Thursday,No
DOH,DEL,23,Clear,British Airways,60,Saturday,No
JFK,CDG,22,Clear,Air India,50,Tuesday,No
JFK,CDG,3,Clear,British Airways,40,Wednesday,Yes
DOH,HND,6,Fog,Qatar Airways,90,Wednesday,Yes
DXB,DEL,15,Fog,Qatar Airways,80,Sunday,Yes
JFK,CDG,22,Rain,Qatar Airways,40,Friday,Yes
DOH,SIN,11,Rain,Air India,50,Saturday,Yes
LHR,SIN,20,Fog,British Airways,110,Monday,Yes
LHR,CDG,21,Clear,Air India,130,Saturday,No
JFK,SIN,5,Fog,Qatar Airways,80,Friday,Yes
LHR,DEL,2,Rain,Air India,140,Friday,Yes
JFK,CDG,22,Clear,Air India,120,Tuesday,Yes
JFK,DEL,9,Rain,Air India,130,Wednesday,No
LHR,CDG,15,Storm,British Airways,50,Monday,No
JFK,HND,17,Clear,Qatar Airways,90,Saturday,No
DXB,SIN,6,Clear,British Airways,70,Monday,No
DOH,HND,15,Storm,Air India,20,Tuesday,Yes
DOH,CDG,11,Storm,Qatar Airways,150,Monday,Yes
LHR,DEL,11,Fog,Qatar Airways,20,Tuesday,No
DOH,SIN,12,Clear,British Airways,110,Friday,No
DOH,DEL,21,Clear,Emirates,150,Tuesday,No
DOH,HND,15,Rain,Air India,100,Friday,Yes
DXB,DEL,8,Storm,British Airways,150,Sunday,No
DXB,DEL,19,Fog,Air India,20,Thursday,Yes
DOH,CDG,15,Rain,Qatar Airways,80,Friday,Yes
LHR,DEL,5,Clear,Air India,30,Friday,Yes
DXB,SIN,0,Clear,Air India,20,Friday,Yes
DOH,HND,6,Fog,British Airways,80,Thursday,Yes
DOH,CDG,18,Clear,Qatar Airways,70,Saturday,No
DXB,HND,5,Fog,Air India,90,Monday,Yes
DXB,DEL,22,Clear,Air India,20,Monday,No
JFK,HND,16,Clear,Emirates,40,Saturday,No
DOH,SIN,8,Fog,Emirates,60,Friday,Yes
DXB,DEL,11,Clear,Air India,80,Thursday,Yes
JFK,SIN,19,Fog,Air India,110,Monday,Yes
DXB,DEL,21,Clear,Qatar Airways,70,Saturday,No
DOH,SIN,21,Fog,Emirates,50,Wednesday,No
LHR,CDG,8,Clear,Qatar Airways,140,Thursday,No
JFK,CDG,8,Storm,British Airways,90,Wednesday,Yes
DXB,CDG,18,Storm,British Airways,20,Monday,No
LHR,DEL,8,Storm,British Airways,60,Thursday,Yes
DXB,DEL,15,Fog,Air India,140,Thursday,Yes
JFK,HND,12,Rain,Qatar Airways,40,Monday,Yes
DOH,SIN,21,Clear,Air India,150,Sunday,Yes
DXB,SIN,18,Clear,Qatar Airways,130,Sunday,No
JFK,HND,16,Clear,Emirates,120,Wednesday,No
DOH,HND,9,Storm,British Airways,150,Tuesday,Yes
DOH,CDG,5,Clear,British Airways,30,Saturday,Yes
DXB,CDG,20,Clear,Qatar Airways,20,Saturday,No
LHR,DEL,7,Clear,Emirates,130,Wednesday,No
LHR,SIN,15,Storm,Emirates,130,Tuesday,No
DOH,HND,21,Rain,Emirates,20,Monday,No
DXB,CDG,4,Clear,Air India,70,Thursday,Yes
DXB,SIN,18,Clear,Emirates,150,Saturday,No
DXB,HND,4,Rain,Qatar Airways,60,Sunday,Yes
DXB,DEL,15,Clear,Qatar Airways,20,Wednesday,No
LHR,SIN,15,Clear,British Airways,90,Wednesday,No
LHR,SIN,2,Clear,British Airways,120,Sunday,Yes
LHR,DEL,7,Storm,Emirates,70,Tuesday,Yes
JFK,HND,14,Clear,Air India,80,Saturday,Yes
DXB,SIN,9,Clear,British Airways,20,Sunday,No
DXB,SIN,19,Clear,Emirates,110,Wednesday,No
DXB,SIN,9,Fog,Emirates,20,Sunday,Yes
LHR,SIN,22,Fog,Qatar Airways,120,Saturday,Yes
DXB,HND,6,Clear,Qatar Airways,110,Monday,No
DXB,CDG,17,Rain,British Airways,70,Sunday,Yes
DXB,DEL,16,Clear,Air India,50,Friday,Yes
JFK,HND,19,Clear,Air India,70,Tuesday,Yes
DOH,HND,6,Storm,Air India,70,Thursday,Yes
JFK,CDG,3,Clear,Qatar Airways,80,Friday,Yes
DXB,DEL,17,Clear,Air India,40,Sunday,Yes
JFK,DEL,19,Rain,British Airways,150,Friday,Yes
DXB,CDG,1,Clear,British Airways,110,Wednesday,Yes
DOH,DEL,2,Clear,Emirates,110,Friday,Yes
LHR,HND,9,Clear,Air India,130,Saturday,No
DXB,SIN,16,Fog,Air India,50,Monday,No
DOH,HND,0,Fog,Qatar Airways,70,Wednesday,Yes
DXB,CDG,9,Clear,Air India,100,Tuesday,No
DXB,CDG,8,Clear,Emirates,70,Wednesday,No
DOH,SIN,6,Clear,Qatar Airways,60,Friday,Yes
DXB,SIN,1,Rain,Emirates,40,Saturday,Yes
JFK,SIN,15,Rain,Qatar Airways,110,Wednesday,No
LHR,CDG,16,Clear,British Airways,150,Thursday,No
DOH,DEL,4,Rain,Air India,30,Saturday,Yes
JFK,CDG,12,Clear,Emirates,80,Wednesday,No
DOH,DEL,18,Rain,Qatar Airways,40,Sunday,Yes
DXB,SIN,8,Rain,Qatar Airways,40,Saturday,Yes
DXB,CDG,16,Fog,Qatar Airways,130,Saturday,No
JFK,HND,5,Fog,Air India,30,Wednesday,Yes
DXB,CDG,12,Clear,Air India,80,Tuesday,No
DXB,SIN,19,Rain,Qatar Airways,20,Friday,Yes
DXB,CDG,10,Clear,Emirates,20,Friday,No
DXB,DEL,5,Rain,Air India,130,Wednesday,Yes
LHR,DEL,12,Clear,Air India,30,Friday,Yes
JFK,CDG,3,Clear,Emirates,110,Tuesday,Yes
JFK,HND,9,Fog,Qatar Airways,130,Thursday,Yes
JFK,HND,23,Clear,Emirates,80,Wednesday,No
LHR,HND,11,Rain,Air India,130,Saturday,Yes
LHR,DEL,19,Clear,British Airways,50,Sunday,Yes
JFK,DEL,18,Rain,Qatar Airways,150,Wednesday,No
LHR,CDG,20,Storm,Air India,40,Sunday,Yes
